sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
11,circle_xy,False,12.0,0.02,60,10,True,599,1.1095700255552625,15.545178299886174,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5627116409261776,0.8765230494231891,-0.002609171259094462,0.417937007983165,-0.6390979368519423,0.6800425326252304,-0.019691241028034122,0.39151428554804313,-0.2653173931420094,0.3419899280837695,0.15642991882695748,0.08401543145664002,True,3.240755897713825,1.1693955243276648,-0.613536632583781,0.8174869962318185,-0.024135833486003132,0.4077152103426349,-0.6261918106469914,0.7386622992385801,-0.01515040181216193,0.38540312558184203,-0.21911606886395232,0.28730465106193903,0.1530492465287557,0.08784073158027715,3,4.0,0.18642657354320755,4.772588137643201,5.211595551850505,5.035994778865186,4.776615805601896,5.91498413134309,4.510438254914764,5.145374628580757,5.94353316404126
12,circle_xy,False,12.0,0.02,60,10,True,599,1.6532512234584822,17.325011499226093,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8507746954519673,1.2456876091728075,-0.013387104901579162,0.5275155452369201,-0.7769444725450463,0.8653899012985213,-0.020165549066361144,0.461256457958316,-0.5173584844856609,0.5573488260940693,0.22770370588234737,0.16384697645881302,True,3.2669536994071677,1.7613991085801048,-0.7845436906108888,1.125913983145146,-0.03487501830780951,0.49783501444933015,-0.7367195847849793,0.9094448965491063,-0.01632956209821901,0.45404845605975724,-0.395695685073802,0.48475185242780006,0.26280656223773646,0.1505158265287891,4,4.0,0.4322380795420282,10.085319211560666,10.52055566494002,10.188072105113566,10.013608045231653,11.066690505929774,9.725608094994056,10.19048153387923,11.078533139966241
13,circle_xy,False,15.0,0.02,60,10,True,749,0.1968929376978908,18.294954000855796,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.17418504746578367,0.20169919679894574,-0.002021270512101753,0.11716107735151186,-0.22747822489328326,0.2210740634952138,-0.005996463782663394,0.12402218735721644,-0.018430504898389263,0.022179903241397108,0.009227344826564971,0.00634992237866252,True,3.892618101555854,0.19614292686970103,-0.18655154493217546,0.22112304270516545,-0.002034111365856082,0.11824212294643495,-0.23402829376217626,0.20129914977260602,-0.005643551386824485,0.11972331282409472,-0.024192863055199264,0.012041188680609912,-0.0006348615233380461,0.00734283780307726,1,5.0,0.038104191828712324,1.871271303897352,1.8685175053340608,1.948767639373782,1.7319177942018191,1.889041408444645,1.9666862769568034,1.8223625514062358,1.9751252212544197
14,circle_xy,False,15.0,0.02,60,10,True,749,0.42720602915604167,22.131219800096005,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.33291248285956676,0.42003015459032583,-0.0030203983407972573,0.22626081374619839,-0.44908888197632946,0.39343561973591284,-0.012128843037264742,0.23232410187892527,-0.07893809205467091,0.08399583935277943,0.038397795413682434,0.022916935213891446,True,3.4486778002465144,0.4711064173030839,-0.3377299326890399,0.41219753239174634,-0.005591077694225684,0.2253317708824878,-0.43206219797263595,0.40601936350414886,-0.01107168179673022,0.2265805016171517,-0.07766391512231977,0.06130827242831751,0.028187673644680514,0.02181318066091556,2,5.0,0.08888003329107627,1.8689145992251694,1.7762884329529247,2.064395687838671,1.7471174689147742,1.8478377279828795,1.985349170697837,1.8304326331779357,1.798493606188391
15,circle_xy,False,15.0,0.02,60,10,True,749,0.7249560144488795,23.312168301315978,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.43991613761681936,0.6413686518818484,-0.002914704435438954,0.32138716477021345,-0.6542057945347162,0.5244422813016746,-0.019548245269569,0.3235691272882982,-0.19533488623864922,0.2093794074437737,0.07646919403248857,0.050673575550231414,True,3.8247574989218265,0.7782405463375434,-0.4901387080357507,0.6292434869397789,-0.008645380010736309,0.3243524045536489,-0.6141822884347956,0.6005246493283537,-0.014488888131564707,0.3137532096577527,-0.17584592596763748,0.14676004227584488,0.06382989637976669,0.04743881591685656,3,5.0,0.14561856639926235,4.000387713073538,3.4978049054460985,3.7790411413196474,3.702866593440364,4.170430665527986,3.619885196216765,3.783802378536441,3.9885893607846987
16,circle_xy,False,15.0,0.02,60,10,True,749,1.075101568153999,24.336073999409564,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6202654848831688,0.9286989648948483,-0.006917643089348781,0.4220367268330407,-0.8263771222599208,0.6201984580540381,-0.02194526022203115,0.3843379299274144,-0.3893148042928551,0.24394310611725076,0.11211867171049418,0.09371416106626261,True,4.090096800238825,1.1278661602460895,-0.6280879679469472,0.8723086707744467,-0.010376375072944963,0.410531469354206,-0.7710141243629519,0.7428243317714608,-0.015913436981602885,0.38194091930282176,-0.3343783880846646,0.2623757161432971,0.11974688448306361,0.08319356202761559,4,5.0,0.18642578747832783,4.359087045638212,4.642580903609638,4.702552455045782,4.533145352590651,5.1992581640369515,4.38503882547324,4.661590152932505,5.494898082989036
17,circle_xy,False,18.0,0.02,60,10,True,899,0.1455858445147312,25.073808301705867,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.12606093157267131,0.15106188244942548,-0.001423720830847488,0.08482784084936924,-0.21246447045588168,0.17350381844184534,-0.0046658472294795455,0.09263989837302695,-0.012634538347284828,0.013700855824051788,0.006189941137639211,0.004711737010604453,True,4.018268800806254,0.13893957239689875,-0.13176992970759152,0.17467953568765143,-0.001541709929800858,0.08644554906527155,-0.225126142607971,0.15179806644337784,-0.004784700377676307,0.09201920129150068,-0.01890033668491967,0.0032617334949643882,-0.00751923493076107,0.005152352821173474,1,6.0,0.033981145816321376,0.797803473231016,0.6337578025576769,0.831555101082134,0.696629243028949,0.836489438277423,0.8716941211662764,0.8259263166801015,0.8496259119402493
18,circle_xy,False,18.0,0.02,60,10,True,899,0.31519909190090434,24.37380839663092,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2524010184661857,0.30991495737642955,-0.0025170732714543498,0.16672782923621157,-0.4213666323431965,0.3202745063027436,-0.009699778508246059,0.1803977888049505,-0.05477564933164371,0.055850914859220585,0.017144855083346535,0.012802511279690182,True,4.585892900126055,0.333563954852252,-0.24362189398179776,0.3158563392125569,-0.004098108269053048,0.16598758756961393,-0.4145537632166502,0.31082083693787627,-0.008538026015232071,0.17705363004778982,-0.058137792124539935,0.04571405106065524,0.013424111658779166,0.014579132575342968,2,6.0,0.07584179687150987,2.723751342796894,2.797014036547987,2.6898850460916135,2.850612854913057,2.563389541319166,2.884061264973976,2.7655524147968538,2.6659948982899584
19,circle_xy,False,18.0,0.02,60,10,True,899,0.5068058588114024,21.344761600717902,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3645434699609426,0.47384261806414096,-0.0038633499510355267,0.24582562391681842,-0.619983363276043,0.4183401729384445,-0.014479260011141075,0.2558702559602587,-0.13324905559870925,0.09889764445247327,0.03719113979023888,0.030960125098359045,True,4.133956102537923,0.5541859992160707,-0.36832483575251745,0.4841103966071619,-0.006615037513275104,0.24566092140210535,-0.5965689858144735,0.45783879069373423,-0.013022482510948178,0.2536970119066495,-0.12689561239971892,0.08748204248954035,0.027786506415121568,0.02930322912595078,3,6.0,0.11781371209565995,2.8174439500256367,2.5406528878641153,2.9454961750434245,2.4882092209246367,2.9238681520926924,2.8079851351415197,2.7075171753999987,2.732091865650328
20,circle_xy,False,18.0,0.02,60,10,True,899,0.7263219061765276,23.04752189980354,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4367066679437654,0.6824566248028219,-0.005760142093300635,0.3159588838009977,-0.7998715474392419,0.4833881427897403,-0.019630104404818716,0.3272729014297123,-0.2643070131776737,0.1549542631227315,0.05722178135940191,0.05363142724086834,True,4.172925699851476,0.7920150419994461,-0.47462342322782175,0.6709355265267534,-0.008271770585144599,0.31743893841391085,-0.7591896626130615,0.5810063102170294,-0.017173511512400354,0.3223759709185647,-0.24333507790156622,0.14689996323441065,0.05741892172404486,0.05087508328229769,4,6.0,0.1514873076161978,4.572090653107824,4.364203963753009,4.291928418398127,4.026458347986255,4.954822835956497,4.006283313209818,4.549310421617682,4.2973330591960215
