sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s)
1,circle_xy,False,10.0,0.02,60,10,True,499,5.186728549555735,16.229118699557148,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7807970753316389,1.2661891686778657,-0.041621855488636186,0.31140405101298396,-0.12354849108344647,0.2750384179242402,0.014387731557931032,0.07340156913091413,-0.027298669472123997,0.1747232261637501,0.03200842727290715,0.03685064261728437,True,2.577233500313014,5.261059615101992,-1.3538238037558026,1.349401175624498,-0.07117485998746773,0.6306374950567311,-0.3456081846834183,0.28029031159987144,0.0076130753856631095,0.1651108148982747,-0.24330139010287338,0.4327227252066625,0.031462966587963694,0.13915597030672977,5.0,0.5
2,circle_xy,False,10.0,0.02,60,10,True,499,5.263169793872882,11.688124699983746,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.0199091850770776,0.9976919639076998,-0.03780991866560943,0.4859932183211525,-0.6345793384279725,0.6836675947044775,0.0367717057566734,0.3400930193735712,-0.4217624316452043,0.8009941955930614,0.5454100816532221,0.2779813674643494,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.0
3,circle_xy,False,10.0,0.02,60,10,True,499,5.603232290778258,12.96544780046679,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.3304936492338497,1.4014228479966653,0.06028361940852072,0.7005307614712722,-1.3226567129660707,1.0821849212932158,0.02169840515042558,0.5962098111181153,-0.264733968011004,1.3875864262009807,0.6920436406588176,0.4003053024187478,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.5
4,circle_xy,False,10.0,0.02,60,10,True,499,4.917435751238249,13.998173500760458,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.1175795100750807,1.399891714802345,0.013882766048844239,0.6683573543297447,-1.029136302971845,1.3395053060474438,0.13456494871847632,0.6278396593304629,-0.37990808840100027,1.3715297057932128,0.6021738927188612,0.38423963838545244,True,2.819391900091432,6.0390167550797065,-1.8144315234189758,2.0132261098708475,-0.0756472104342539,0.8839460390185098,-1.0881586646905719,0.9920542143403179,0.0021058634757450036,0.5211540817361302,-1.1707265203109176,2.646166918266958,0.6547467184535645,0.981374187917832,5.0,2.0
5,circle_xy,False,10.0,0.02,60,10,True,499,4.367260297067439,15.747966100811027,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.082221131309479,1.4020341974335357,0.04929966379813498,0.6678015082664047,-1.2776969090756094,1.2407803524816052,-0.01157625497432673,0.6176278873219206,-0.35331249665089337,1.3709607331717129,0.6167435782939711,0.3305815538720677,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,2.5
6,circle_xy,False,10.0,0.02,60,10,True,499,3.6259634735632624,14.666964799282141,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.9416311343528404,1.4019673108961364,0.04866671122241822,0.6174092692869184,-1.2701535040376857,1.1815620426939317,-0.09366888975043706,0.6343598739725871,-0.5655210770242194,1.393577227445474,0.4637037816268632,0.3187511690389392,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,3.0
7,circle_xy,False,10.0,0.02,60,10,True,499,3.108873537942982,16.412731700926088,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.9169903736338976,1.3986689648212067,-0.00236972999920458,0.595944470959851,-1.2355781604397467,1.3729799490967114,-0.02025277111550681,0.6349074123649241,-0.6582027559507356,1.3507329843019646,0.3921709754874181,0.33548256040225,True,2.7873182012699544,3.8217539248220445,-1.0033423636167889,1.7484979183995197,0.055151909613747,0.7258421801958833,-0.9247175364232855,1.2555525119767565,-0.09848968096493976,0.4908702143569944,-0.45441554095776615,1.0747663144473156,0.33204449813841497,0.35706111700673543,5.0,3.5
8,circle_xy,False,10.0,0.02,60,10,True,499,2.513569240198206,17.114733898662962,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8468631148430524,1.401138068544085,0.0834992195408705,0.5297003576425097,-1.0134871737336213,1.2981907474723138,0.012000332166479126,0.6120209686818026,-0.7245386564899493,1.079318054482769,0.3847373523608279,0.26703563498848004,True,2.64137220045086,3.21958395948421,-1.080334639837709,1.552832738947298,0.03774093637876142,0.6614349018694571,-0.9289728067997026,1.089355231404897,0.006245699728783535,0.5213334670215727,-0.5100501953291814,1.4067401773204902,0.28278985011788016,0.3547873243586814,5.0,4.0
9,circle_xy,False,10.0,0.02,60,10,True,499,1.8662280373676048,16.716690000263043,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.9282910961598841,1.403735536408831,0.04994916210341936,0.5816301542421792,-0.9098413256554568,0.9725408826498059,-0.026353282859131463,0.46080737546090683,-0.7806258326632174,0.5684676027603903,0.1816185913401175,0.2141320518287392,True,2.631598697626032,2.2980543328508913,-0.9881982146805297,1.3722162977213441,0.01736782734020128,0.5757371993667924,-0.742089252961358,1.0185827434393857,-0.015837280421119922,0.44335281344550925,-0.5167736739519302,0.925879662192744,0.1553343155999236,0.2504030880697927,5.0,4.5
10,circle_xy,False,10.0,0.02,60,10,True,499,1.5286900418629807,13.876804897678085,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7844194971265919,1.2492492745981407,-0.012595544830494187,0.5230943823052491,-0.9514104493585389,0.779796099701474,-0.030476913532099685,0.4524403108854189,-0.698190227274428,0.3570019621228498,0.10148805434607228,0.18238138709135795,True,3.9256201011594385,1.7143993820735477,-0.8085379262762068,1.205405954526988,-0.023465675933427042,0.4865041885928146,-0.748187737351691,0.9067871847100746,-0.024742275865590656,0.4395520544294613,-0.4860752419082449,0.49006691171935474,0.11779999707263099,0.16676224564110814,5.0,5.0
