sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,point_failure,False,20,0.02,60,10,True,999.0,8.689554183945877,40.175457099685445,total_failure,0-1,0.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.656417462814345,1.3653527974525668,-0.11699121370055938,0.5013194631462271,-0.7071740675766108,1.5271207988312383,0.018773208636158775,0.3133311474686942,-1.1995945011937594,2.4324020187953206,-0.13123408124936004,0.6401695019483087,True,4.175833897665143,0.7671637886663912,-0.6233542648366889,0.511846276415207,-0.006798707329839332,0.25411522150368954,-0.2632251950494339,0.21274535701858446,-0.0021900154760374165,0.08899178955567495,0.0,0.3799993425480847,0.11247546145985299,0.10090815695116766,nan,nan,8.60775977802206,0.0,0.0,27.950743264605876,53.2101204602991,55.76879785123752,63.62202758534758,48.370055757439985,29.309700769432332
2,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,0-2,0.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,point_failure,False,20,0.02,60,10,True,999,0.1234648982382362,21.856325504602864,total_failure,0-3,0.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.26032606759623395,0.18754750490927594,-0.0005955030883351685,0.03472311569751229,-0.544893318892151,0.36733812106895863,-0.0015001913410507977,0.07943955220411598,-0.002044270193007264,0.07213942001384993,0.0018472695334049308,0.007973826759314205,True,3.1332186951767653,0.06905653867670036,-0.014877392252094591,0.012046625308981696,-9.822174711383554e-06,0.002803853879207157,-0.0018111185660844849,0.0012981709198933724,-1.490117775967036e-05,0.00044169938715949217,0.0,0.10498975894852915,0.06958279844568661,0.01461103901479561,nan,nan,0.1464069866714061,0.0,4.605986747240841,4.4118059018311895,0.0,4.519154096128474,4.3163318913219655,4.465654761913377,3.6766130946922733
4,point_failure,False,20,0.02,60,10,True,999,0.09626047290590563,24.167361804982647,total_failure,0-4,0.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-1.4384592687404607e-13,1.2260757658924684e-13,-4.0065572009149906e-16,2.5865445764300946e-14,-8.145964860802958e-14,7.17016761278499e-14,-2.496656260308592e-16,1.2685519780869504e-14,-0.3562759541750031,0.04302873384038641,-0.02009474401727542,0.07463975384876716,True,3.0457754996605217,0.07921324221133576,-0.017495979411598247,0.01117063044537215,-1.4317381795124045e-05,0.0029885185606274237,-0.0026171580065396023,0.005510355894139424,3.513226226882268e-06,0.0008056316356530006,-8.514488516644026e-05,0.008799234202107742,0.005202577486338016,0.001672518660025824,nan,nan,0.11886071586110587,0.0,3.2635094272286005,10.963587430565493,4.162220596174024,0.0,4.176115245982083,10.892773662364771,3.2875105430325577
5,point_failure,False,20,0.02,60,10,True,999,0.12345621235344499,21.613013599067926,total_failure,0-5,0.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,-0.260350225370695,0.18785733418037825,-0.0006036511509489639,0.03473643145838253,-0.3675896021227834,0.5451976193906112,0.0014969506816426912,0.0794972653224743,-0.0716929348356718,0.0024358510953050227,-0.0018962519742376717,0.008027001448944531,True,4.244588004657999,0.13980893880087028,-0.037468012878714985,0.03290736342357402,-3.611099569252464e-05,0.0069630343567673066,-0.11121540684865192,0.09300459624137072,0.00010168392833597913,0.019972550491342663,0.0,0.149914022832231,0.10979187074610902,0.021153690491471044,nan,nan,0.17821115505508867,0.0,5.84897556125799,5.066837972290773,5.427387044284318,6.8660572149265615,0.0,4.27465160516212,3.879471335501859
6,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,0-6,0.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,point_failure,False,20,0.02,60,10,True,999,7.3229709598465,30.974669801304117,total_failure,0-7,0.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,-3.6426386005768565,1.2887776951926102,-0.045658065351909555,0.49461182726468905,-1.5072786955151762,0.5653103281693918,-0.037552076111877684,0.28262325701225804,-2.295616801712861,1.1787086118199204,0.11694574191300809,0.5283530884194497,True,4.089451001258567,1.6554426798542625,-1.0162937164227697,0.669520995754408,-0.02491636465994435,0.36630979514233797,-0.31585977006183297,0.38818114558004896,-0.003145351972880751,0.13518005260824564,-0.34728136487862205,0.7947940367751706,0.1971187340099786,0.23196593215500225,nan,nan,6.7366718836056805,0.0,22.436476463793685,38.84868018076091,52.33137307121968,56.03505821039868,48.44616146528096,20.585032803650307,0.0
8,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,1-2,100.0-0.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,1-3,100.0-0.0-100.0-0.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,point_failure,False,20,0.02,60,10,True,999,0.1234388179118923,20.131883898051456,total_failure,1-4,100.0-0.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.18764580213974816,0.26015750705074464,0.0006056062830977667,0.034699905666651806,-0.5448809670109014,0.3671688601277121,-0.0015013046837774417,0.07942206193948317,-0.07159569802381184,0.0024291016409979838,-0.0018930958340397737,0.008013331977245458,True,3.098311198875308,0.070991403093115,-0.00548027055466749,0.0026472208087711204,-3.94171648891527e-05,0.0008653732686931329,-0.021692125933880757,0.03078300836267773,4.495576114534292e-06,0.005210041495533989,0.0,0.10057545413555925,0.07709462589604496,0.013758711813924344,nan,nan,0.15112091145407666,3.66015055652779,0.0,4.009345896696553,4.096608989798904,0.0,3.611387280797335,4.504382009113395,4.147672552883638
