sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi
1,circle_xy,False,6.0,0.02,60,10,True,299,0.7678803596825793,7.4864242994226515,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4389237526682205,0.4295612990498483,-0.0213476318449885,0.265045247046584,-0.3743893690513993,0.3753624827678571,-0.0002561371955424,0.2224732593258113,-0.0045539664636085,0.1853475174704219,0.123251916321409,0.0487053844448144,True,1.3052384993061423,0.812160196814149,-0.3500054325297707,0.4031533688394069,-0.014541593678586,0.2264964581286281,-0.3055446090674815,0.3230439078514833,-0.0026895614624116,0.18834342702077,-0.0004200798934133,0.1531027364957785,0.0817157247805124,0.0386214767349297
2,circle_xy,False,6.0,0.02,60,10,True,299,1.674557165048058,9.85193139896728,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7103747459030848,0.8464545065585051,-0.0361988799886597,0.4382339438641365,-0.5681868031424167,0.6706866730648106,0.0262587168930329,0.3510409490667401,-0.0177320971579166,0.5622629510161516,0.3123927005051074,0.1224986770302391,True,1.7397133002523333,1.7164350328743534,-0.6728016074565746,0.797672654427757,-0.0053663916507434,0.3971941174697694,-0.5512023097737175,0.5621628995786684,-0.0014367517576055,0.3058137856742416,0.0,0.4312049095982786,0.2188931271567728,0.1062058437152894
3,circle_xy,False,6.0,0.02,60,10,True,299,2.802540616611026,7.4015470002777874,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.928986800314056,1.237855164569149,-0.0164627898933302,0.5600000117062908,-0.4598354836939002,1.0403107539383585,0.1311460394210474,0.4400691646069237,-0.0382174777929066,0.93599507129636,0.4609281670193665,0.2320309365717033,True,2.224947301321663,2.8196572444420207,-0.883827136328461,1.214220116471075,0.044037684163249,0.5512056625192558,-0.6763620370731541,0.8367727786018475,0.0263447698851711,0.4186132849845635,0.0,0.9211727294427,0.4336993306596336,0.2399420211075375
4,circle_xy,False,6.0,0.02,60,10,True,299,4.084736168585485,10.44085260038264,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.1246845259793266,1.3922417335839388,0.0444445250043986,0.6246325444779643,-0.4996134963387917,1.3154066863321612,0.2223011992697706,0.5282445656508089,-0.0621466271298791,1.2529323197865672,0.54090123499819,0.3547803773463054,True,1.8052159007638693,4.156001929103441,-0.9448600357506812,1.6311338758995373,-0.036080929470356,0.667239736406524,-1.0365037737898433,0.965129943891156,0.0768735269906664,0.5064755519218116,-0.0799774687635606,1.2085286988668271,0.5709797066005341,0.404373260879324
5,circle_xy,False,9.0,0.02,60,10,True,449,0.4623745587301968,12.697455801302567,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3735798199416439,0.3829970045514779,-0.0099911371179661,0.2374052676418264,-0.331366050891005,0.3325716328297871,-0.0077432016085566,0.2109886444883978,-0.0277183980678622,0.1083039462472676,0.066502295085413,0.0281230222948126,True,2.2724665999412537,0.5255547742864083,-0.3302356393345336,0.3764686059334423,-0.0142612253645787,0.2100472151934833,-0.3289142846784216,0.268002374426575,-0.0103249257300968,0.180441704981233,-0.0237792113685237,0.0742565956767468,0.0369279068980932,0.0221332312950143
6,circle_xy,False,9.0,0.02,60,10,True,449,1.05178734577126,11.285575399408115,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5607416363297107,0.7594291851105207,-0.0024869376840171,0.3995763759906617,-0.5489436235573492,0.5626220142097821,-0.0094955607167023,0.342342210235711,-0.113118415302493,0.2699361634206813,0.1714488132156402,0.0747800666454427,True,3.019547100062482,1.1321258879272385,-0.5349476943076327,0.7435931013737827,-0.0320323588628247,0.3697980429186346,-0.580039023301685,0.4771046853084537,-0.0250376514855338,0.3079901626155222,-0.0719778041237598,0.2465247476344836,0.1165597678477252,0.0737617491916681
7,circle_xy,False,9.0,0.02,60,10,True,449,1.7859493550828267,12.584193801390938,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6707780564345178,1.1645106001472174,0.0161805597064756,0.5061777147865774,-0.7372950832288644,0.8881781525357587,-0.0289188198269678,0.4485387199781177,-0.2599615309614472,0.634342254775051,0.2959568557504881,0.1430151462081154,True,3.4363657000940293,1.806454291944352,-0.7018112036051984,1.115637581158311,-0.037113881458998,0.4998574182091315,-0.7859427050645348,0.6656868099228006,-0.0514459842997319,0.4089182615661815,-0.1440497319331205,0.4800475608722115,0.2236148376330126,0.1402497295530997
8,circle_xy,False,9.0,0.02,60,10,True,449,2.585412763769396,10.968580800225029,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7159977620060858,1.399345318662272,0.0073493665622944,0.5730610158902787,-0.9754584280060054,1.1712248581881566,-0.0390463516208289,0.5447499601978868,-0.441201092089686,0.756701080252002,0.3690755696697274,0.1956707451867695,True,2.839163899538107,2.8014249842028804,-0.7231159303880461,1.499765562812574,0.0606413758602588,0.6180393002484423,-0.7950127716576566,0.9399445780474364,-0.0685310082173105,0.4629955315394652,-0.2207388997511793,0.8117136936823386,0.3676823740544472,0.2271434550076441
9,circle_xy,False,12.0,0.02,60,10,True,599,0.2886792411562378,19.583350398694165,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2491637467293864,0.2781875273116966,-0.0044860108712535,0.1680827386396185,-0.2431409502322771,0.2715717140338393,-0.0066483517061934,0.1669736456116279,-0.0256900416879235,0.0427174915972572,0.0240710337261581,0.0119869793569468,True,3.245997900492512,0.3476210913123475,-0.2691276885706251,0.2869716802385468,-0.0076729173354479,0.1649545592375329,-0.2354725971494609,0.2446485817680622,-0.0060749251992594,0.1475265373077488,-0.0337902380334405,0.0240585964390053,0.0078876916928169,0.0093936618405495
10,circle_xy,False,12.0,0.02,60,10,True,599,0.6548627461796237,22.67167969944421,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4178987443549825,0.5753131535052095,-0.0048616714493533,0.3057807230811892,-0.4486207006006348,0.4836009860667433,-0.0125692632793252,0.2973827529858223,-0.1086369303333518,0.1523529773234413,0.0845659310155462,0.0416635203129085,True,3.6603205002611503,0.76781427338729,-0.4630128871981464,0.5649950709839526,-0.0187989126112188,0.3049499209892284,-0.4323684729413338,0.4091051458380184,-0.0099317140680179,0.2648628624035037,-0.0895572494807118,0.1431183832302761,0.050417053264213,0.0433290044913663
